# test_for_audio_implicit_full — FULL-RES (256x512) results

Radial depth, scene_split (72/9/9), loaded from actual files at 256x512 (no 64x128 downsampling). cos-lat weighted metrics. seed = mean ± std.

**Progress: 340/351 trained runs evaluated (of 93 total jobs).**

| model (seed-grouped) | n | test MAE ↓ | MAE_plain | (64×128 plain) | MAE_low | δ<1.25 ↑ | shuffle MAE | mirror_better |
| A6sec | 3 | 0.9270 ± 0.0038 | 0.7810 ± 0.0040 | 0.7816 | 0.8893 ± 0.0033 | 0.433 ± 0.003 | 1.1459 ± 0.0114 | 0.260 ± 0.006 |
| A6_crossself | 3 | 0.9271 ± 0.0035 | 0.7804 ± 0.0049 | 0.7753 | 0.8891 ± 0.0040 | 0.439 ± 0.006 | 1.1463 ± 0.0058 | 0.259 ± 0.005 |
| Bnode2_cross_unetenc | 3 | 0.9279 ± 0.0044 | 0.7785 ± 0.0043 | — | 0.8898 ± 0.0044 | 0.434 ± 0.001 | 1.1240 ± 0.0022 | 0.259 ± 0.005 |
| E_echo_ray | 3 | 0.9289 ± 0.0013 | 0.7811 ± 0.0015 | — | 0.8912 ± 0.0014 | 0.439 ± 0.005 | — | 0.267 ± 0.007 |
| T_all | 1 | 0.9293 | 0.7831 | 0.7819 | 0.8883 | 0.432 | 1.1258 | 0.254 |
| T_progpe | 1 | 0.9304 | 0.7831 | 0.8227 | 0.8870 | 0.431 | 1.1325 | 0.244 |
| C_raydpt_rsmp | 1 | 0.9305 | 0.7831 | — | 0.8926 | 0.438 | — | 0.279 |
| C_unet8_raycoarse16_5chflip | 3 | 0.9335 ± 0.0104 | 0.7851 ± 0.0074 | — | 0.8948 ± 0.0105 | 0.432 ± 0.004 | 1.1218 ± 0.0077 | 0.265 ± 0.001 |
| Bnode2_cross_hitok | 2 | 0.9391 ± 0.0012 | 0.7917 ± 0.0043 | — | 0.9014 ± 0.0016 | 0.429 ± 0.000 | 1.1402 | 0.262 ± 0.001 |
| A19_raymodStrong | 3 | 0.9457 ± 0.0093 | 0.7940 ± 0.0076 | 0.7709 | 0.9075 ± 0.0091 | 0.423 ± 0.003 | 1.1261 ± 0.0057 | 0.301 ± 0.010 |
| A14_rir5 | 1 | 0.9461 | 0.7939 | 0.7907 | 0.9071 | 0.414 | 1.1187 | 0.328 |
| Bnode2_cross5ch | 3 | 0.9462 ± 0.0049 | 0.7994 ± 0.0043 | — | 0.9089 ± 0.0051 | 0.420 ± 0.006 | 1.1403 ± 0.0056 | 0.272 ± 0.005 |
| A12_film | 1 | 0.9476 | 0.7931 | 0.7935 | 0.9090 | 0.416 | 1.1118 | 0.284 |
| Q_rd_rel10_lr5e4 | 1 | 0.9480 | 0.8004 | — | 0.9113 | 0.410 | — | 0.287 |
| A8_hybrid | 1 | 0.9482 | 0.8004 | — | 0.9110 | 0.403 | 1.1235 | 0.286 |
| Q_rdmsf_rel10silog25 | 1 | 0.9493 | 0.7987 | — | 0.9121 | 0.397 | — | 0.285 |
| A19_raymodStrong_fv | 3 | 0.9493 ± 0.0052 | 0.7944 ± 0.0047 | 0.7714 | 0.9104 ± 0.0048 | 0.420 ± 0.002 | 1.1210 ± 0.0097 | 0.299 ± 0.003 |
| A14_frozen | 1 | 0.9509 | 0.7959 | 0.7811 | 0.9125 | 0.409 | 1.1097 | 0.296 |
| A10_cross | 1 | 0.9518 | 0.7947 | 0.7935 | 0.9139 | 0.412 | 1.0972 | 0.329 |
| C_unet8_sh6_5chflip | 3 | 0.9532 ± 0.0173 | 0.7950 ± 0.0107 | — | 0.9149 ± 0.0169 | 0.415 ± 0.006 | 1.1135 ± 0.0052 | 0.437 ± 0.078 |
| Bnode2_crossself_hitokflip | 3 | 0.9543 ± 0.0134 | 0.8025 ± 0.0123 | — | 0.9161 ± 0.0137 | 0.416 ± 0.010 | 1.1158 ± 0.0107 | 0.295 ± 0.015 |
| A13_ild3 | 1 | 0.9546 | 0.7981 | 0.8066 | 0.9161 | 0.414 | 1.1017 | 0.294 |
| C_unet8_sh4_5chflip | 3 | 0.9552 ± 0.0248 | 0.7995 ± 0.0201 | — | 0.9169 ± 0.0247 | 0.409 ± 0.010 | 1.1019 ± 0.0095 | 0.438 ± 0.083 |
| C_unet8_coarse16_5chflip | 3 | 0.9558 ± 0.0193 | 0.7962 ± 0.0147 | — | 0.9171 ± 0.0192 | 0.413 ± 0.007 | 1.1162 ± 0.0113 | 0.449 ± 0.078 |
| A9_fullmap | 3 | 0.9565 ± 0.0039 | 0.7988 ± 0.0014 | 0.7951 | 0.9186 ± 0.0039 | 0.409 ± 0.001 | 1.0996 ± 0.0079 | 0.310 ± 0.018 |
| A13_mag2 | 1 | 0.9580 | 0.8039 | 0.7845 | 0.9201 | 0.410 | 1.1095 | 0.294 |
